,BAIRRO,HOS
0,ABOLICAO,1
1,ACARI,3
2,ALTO DA BOA VISTA,1
3,ANIL,1
4,BANCARIOS,1
5,BANGU,15
6,BARRA DA TIJUCA,5
7,BARRA DE GUARATIBA,1
8,BARROS FILHO,1
9,BENFICA,3
10,BONSUCESSO,1
11,BOTAFOGO,8
12,BRAS DE PINA,1
13,CACUIA,2
14,CAJU,1
15,CAMPO GRANDE,16
16,CASCADURA,1
17,CATETE,1
18,CATUMBI,1
19,CENTRO,7
20,CIDADE DE DEUS,2
21,CIDADE NOVA,3
22,COCOTA,1
23,COELHO NETO,2
24,COLEGIO,1
25,COMPLEXO DO ALEMAO,4
26,COPACABANA,2
27,CORDOVIL,2
28,COSMOS,4
29,COSTA BARROS,2
30,CURICICA,1
31,DEL CASTILHO,2
32,ENCANTADO,2
33,ENGENHEIRO LEAL,1
34,ENGENHO DA RAINHA,2
35,ENGENHO DE DENTRO,6
36,ENGENHO NOVO,2
37,ESTACIO,1
38,FREGUESIA,1
39,GALEAO,2
40,GAMBOA,1
41,GARDENIA AZUL,1
42,GAVEA,1
43,GRAJAU,2
44,GUADALUPE,5
45,GUARATIBA,7
46,HONORIO GURGEL,1
47,INHAUMA,3
48,INHOAIBA,8
49,IRAJA,7
50,ITANHANGA,1
51,JACAREPAGUA,12
52,JACAREZINHO,3
53,JARDIM AMERICA,1
54,JARDIM CARIOCA,2
55,JARDIM SULACAP,2
56,LAPA,1
57,LEBLON,3
58,LEME,1
59,LINS DE VASCONCELOS,2
60,MADUREIRA,5
61,MAGALHAES BASTOS,1
62,MANGUEIRA,2
63,MANGUINHOS,1
64,MARACANA,3
65,MARE,7
66,MARECHAL HERMES,3
67,MEIER,4
68,OLARIA,1
69,PACIENCIA,12
70,PADRE MIGUEL,2
71,PAQUETA,1
72,PARADA DE LUCAS,1
73,PARQUE ANCHIETA,2
74,PAVUNA,4
75,PEDRA DE GUARATIBA,1
76,PENHA,5
77,PENHA CIRCULAR,2
78,PIEDADE,3
79,PILARES,1
80,PORTUGUESA,3
81,PRACA DA BANDEIRA,2
82,PRACA SECA,3
83,QUINTINO BOCAIUVA,1
84,RAMOS,2
85,REALENGO,10
86,RECREIO DOS BANDEIRANTES,1
87,RIO COMPRIDO,2
88,ROCHA,2
89,ROCHA MIRANDA,2
90,ROCINHA,4
91,SAMPAIO,1
92,SANTA CRUZ,19
93,SANTA TERESA,1
94,SANTISSIMO,2
95,SANTO CRISTO,1
96,SAO CONRADO,2
97,SAO CRISTOVAO,2
98,SAO FRANCISCO XAVIER,2
99,SENADOR CAMARA,6
100,SENADOR VASCONCELOS,1
101,SEPETIBA,4
102,TANQUE,1
103,TAQUARA,1
104,TAUA,1
105,TIJUCA,4
106,TODOS OS SANTOS,1
107,TOMAS COELHO,1
108,TURIACU,1
109,VARGEM PEQUENA,3
110,VASCO DA GAMA,1
111,VIDIGAL,1
112,VIGARIO GERAL,2
113,VILA ISABEL,5
114,VILA KOSMOS,1
115,VILA MILITAR,1
116,VISTA ALEGRE,1
117,ZUMBI,1
